delta_time,roll,pitch,yaw,label
87.510498046875,1.7,-51.9,14.8,gesture
175.201171875,1.7,-51.9,14.8,gesture
263.0205078125,-5.9,-9.4,-8.2,gesture
350.503173828125,-25.1,-21.3,-56.3,gesture
437.458740234375,-21.2,-51.4,-63.6,gesture
525.033935546875,-15.9,-17.7,-63.0,gesture
612.302490234375,-15.9,-17.7,-63.0,gesture
700.0673828125,-6.2,-0.9,-58.0,gesture
787.96142578125,0.0,-0.5,-59.1,gesture
875.001708984375,-10.1,-55.0,-58.6,gesture
962.61181640625,-10.1,-55.0,-58.6,gesture
1050.109375,-16.8,-16.7,-51.8,gesture
1137.071044921875,-11.1,-33.7,-55.9,gesture
1225.48876953125,-7.1,-63.7,-58.7,gesture
